CMDLINE /home/ioana/.pyenv/versions/3.10.0/envs/cw2/bin/python3.10 run_cv_model.py
MEM 0.484375 1710279274.6844
MEM 26.640625 1710279274.7855
MEM 40.441406 1710279274.8865
MEM 110.816406 1710279274.9877
MEM 223.542969 1710279275.0888
MEM 243.593750 1710279275.1898
MEM 320.550781 1710279275.2906
MEM 334.203125 1710279275.3917
MEM 351.789062 1710279275.4927
MEM 360.351562 1710279275.5938
MEM 366.023438 1710279275.6949
MEM 374.789062 1710279275.7961
MEM 381.656250 1710279275.8971
MEM 388.101562 1710279275.9982
MEM 396.480469 1710279276.0993
MEM 402.925781 1710279276.2004
MEM 405.246094 1710279276.3016
MEM 409.371094 1710279276.4027
MEM 414.707031 1710279276.5036
MEM 415.738281 1710279276.6047
MEM 421.972656 1710279276.7057
MEM 437.339844 1710279276.8067
MEM 450.957031 1710279276.9076
MEM 481.855469 1710279277.0085
MEM 497.230469 1710279277.1102
MEM 534.609375 1710279277.2113
MEM 542.792969 1710279277.3124
MEM 547.691406 1710279277.4133
MEM 554.910156 1710279277.5145
MEM 559.035156 1710279277.6156
MEM 536.289062 1710279277.7167
MEM 570.980469 1710279277.8177
MEM 574.964844 1710279277.9188
MEM 574.964844 1710279278.0199
MEM 576.769531 1710279278.1210
MEM 579.347656 1710279278.2219
MEM 581.925781 1710279278.3229
MEM 584.246094 1710279278.4241
MEM 586.308594 1710279278.5253
MEM 588.886719 1710279278.6265
MEM 591.464844 1710279278.7277
MEM 594.558594 1710279278.8289
MEM 598.941406 1710279278.9301
MEM 604.355469 1710279279.0311
MEM 607.964844 1710279279.1321
MEM 612.863281 1710279279.2332
MEM 618.277344 1710279279.3343
MEM 621.886719 1710279279.4352
MEM 626.785156 1710279279.5364
MEM 632.199219 1710279279.6375
MEM 635.808594 1710279279.7385
MEM 640.707031 1710279279.8396
MEM 646.121094 1710279279.9405
MEM 651.726562 1710279280.0414
MEM 656.882812 1710279280.1424
MEM 662.039062 1710279280.2435
MEM 665.390625 1710279280.3445
MEM 670.546875 1710279280.4455
MEM 675.960938 1710279280.5465
MEM 679.570312 1710279280.6476
MEM 684.468750 1710279280.7487
MEM 689.882812 1710279280.8498
MEM 694.007812 1710279280.9509
MEM 697.875000 1710279281.0519
MEM 702.515625 1710279281.1531
MEM 683.863281 1710279281.2541
MEM 659.269531 1710279281.3553
MEM 634.660156 1710279281.4565
MEM 623.832031 1710279281.5575
MEM 623.832031 1710279281.6586
MEM 667.355469 1710279281.7599
MEM 667.355469 1710279281.8614
MEM 667.355469 1710279281.9624
MEM 667.355469 1710279282.0635
MEM 667.355469 1710279282.1645
MEM 667.355469 1710279282.2656
MEM 667.355469 1710279282.3667
MEM 667.355469 1710279282.4680
MEM 724.558594 1710279282.5692
MEM 700.773438 1710279282.6709
MEM 700.773438 1710279282.7721
MEM 700.773438 1710279282.8732
MEM 700.773438 1710279282.9743
MEM 700.773438 1710279283.0753
MEM 700.773438 1710279283.1764
MEM 700.773438 1710279283.2774
MEM 700.773438 1710279283.3784
MEM 700.773438 1710279283.4795
MEM 700.773438 1710279283.5807
MEM 700.773438 1710279283.6818
MEM 700.773438 1710279283.7830
MEM 700.773438 1710279283.8843
MEM 700.773438 1710279283.9854
MEM 700.773438 1710279284.0864
MEM 700.773438 1710279284.1874
MEM 701.800781 1710279284.2884
MEM 706.183594 1710279284.3895
MEM 710.566406 1710279284.4907
MEM 714.949219 1710279284.5920
MEM 718.300781 1710279284.6930
MEM 783.367188 1710279284.7943
MEM 793.550781 1710279284.8953
MEM 793.550781 1710279284.9964
MEM 793.550781 1710279285.0975
MEM 793.550781 1710279285.1985
MEM 793.550781 1710279285.2995
MEM 794.558594 1710279285.4007
MEM 794.558594 1710279285.5023
MEM 794.558594 1710279285.6034
MEM 794.558594 1710279285.7044
MEM 794.558594 1710279285.8053
MEM 794.558594 1710279285.9063
MEM 794.558594 1710279286.0072
MEM 794.558594 1710279286.1081
MEM 794.558594 1710279286.2090
MEM 795.585938 1710279286.3100
MEM 796.101562 1710279286.4109
MEM 797.132812 1710279286.5117
MEM 798.164062 1710279286.6127
MEM 798.164062 1710279286.7137
MEM 798.421875 1710279286.8147
MEM 798.421875 1710279286.9159
MEM 798.421875 1710279287.0172
MEM 798.421875 1710279287.1183
MEM 798.421875 1710279287.2194
MEM 798.421875 1710279287.3205
MEM 798.421875 1710279287.4218
MEM 798.421875 1710279287.5229
MEM 798.421875 1710279287.6241
MEM 798.937500 1710279287.7252
MEM 798.937500 1710279287.8262
MEM 798.937500 1710279287.9272
MEM 798.937500 1710279288.0284
MEM 799.195312 1710279288.1295
MEM 799.195312 1710279288.2305
MEM 799.195312 1710279288.3316
MEM 799.453125 1710279288.4326
MEM 799.453125 1710279288.5338
MEM 799.453125 1710279288.6348
MEM 799.710938 1710279288.7357
MEM 840.421875 1710279288.8367
MEM 882.570312 1710279288.9384
MEM 869.468750 1710279289.0395
MEM 874.339844 1710279289.1406
MEM 882.210938 1710279289.2423
MEM 872.335938 1710279289.3441
MEM 907.667969 1710279289.4455
MEM 898.480469 1710279289.5467
MEM 874.351562 1710279289.6477
MEM 908.191406 1710279289.7493
MEM 876.937500 1710279289.8510
MEM 894.816406 1710279289.9521
MEM 901.078125 1710279290.0539
MEM 871.199219 1710279290.1554
MEM 887.078125 1710279290.2571
MEM 879.343750 1710279290.3590
MEM 871.085938 1710279290.4607
MEM 883.082031 1710279290.5640
MEM 895.792969 1710279290.6654
MEM 902.125000 1710279290.7671
MEM 873.984375 1710279290.8687
MEM 895.867188 1710279290.9703
MEM 904.242188 1710279291.0720
MEM 877.992188 1710279291.1736
MEM 895.867188 1710279291.2752
MEM 900.132812 1710279291.3769
MEM 875.972656 1710279291.4783
MEM 900.218750 1710279291.5795
MEM 876.015625 1710279291.6810
MEM 883.871094 1710279291.7826
MEM 877.996094 1710279291.8842
MEM 883.871094 1710279291.9853
MEM 874.140625 1710279292.0864
MEM 895.875000 1710279292.1874
MEM 900.871094 1710279292.2887
MEM 864.585938 1710279292.3904
MEM 884.710938 1710279292.4920
MEM 874.835938 1710279292.5931
MEM 892.718750 1710279292.6948
MEM 876.824219 1710279292.7964
MEM 884.718750 1710279292.8980
MEM 876.828125 1710279292.9994
MEM 884.726562 1710279293.1006
MEM 874.832031 1710279293.2023
MEM 896.730469 1710279293.3034
MEM 874.851562 1710279293.4045
MEM 896.734375 1710279293.5060
MEM 874.835938 1710279293.6070
MEM 874.843750 1710279293.7086
MEM 884.742188 1710279293.8103
MEM 876.855469 1710279293.9117
MEM 901.007812 1710279294.0133
MEM 910.195312 1710279294.1149
MEM 878.867188 1710279294.2158
MEM 896.742188 1710279294.3169
MEM 874.863281 1710279294.4185
MEM 901.113281 1710279294.5195
MEM 900.195312 1710279294.6213
MEM 860.742188 1710279294.7230
MEM 876.859375 1710279294.8248
MEM 901.007812 1710279294.9266
MEM 901.003906 1710279295.0283
MEM 896.746094 1710279295.1294
MEM 901.105469 1710279295.2311
MEM 910.199219 1710279295.3329
MEM 898.222656 1710279295.4346
MEM 903.054688 1710279295.5357
MEM 864.773438 1710279295.6378
MEM 876.851562 1710279295.7391
MEM 905.035156 1710279295.8408
MEM 903.011719 1710279295.9423
MEM 905.015625 1710279296.0434
MEM 903.011719 1710279296.1450
MEM 885.000000 1710279296.2461
MEM 873.105469 1710279296.3477
MEM 861.000000 1710279296.4492
MEM 875.101562 1710279296.5508
MEM 885.000000 1710279296.6524
MEM 877.117188 1710279296.7541
MEM 905.265625 1710279296.8560
MEM 910.453125 1710279296.9575
MEM 903.273438 1710279297.0587
MEM 863.000000 1710279297.1604
MEM 885.261719 1710279297.2621
MEM 878.351562 1710279297.3636
MEM 902.523438 1710279297.4652
MEM 876.351562 1710279297.5675
MEM 900.515625 1710279297.6687
MEM 878.347656 1710279297.7704
MEM 886.246094 1710279297.8716
MEM 878.378906 1710279297.9732
MEM 894.250000 1710279298.0748
MEM 878.351562 1710279298.1765
MEM 895.726562 1710279298.2780
MEM 886.250000 1710279298.3790
MEM 880.523438 1710279298.4808
MEM 894.250000 1710279298.5825
MEM 900.601562 1710279298.6836
MEM 876.355469 1710279298.7852
MEM 894.250000 1710279298.8867
MEM 898.519531 1710279298.9885
MEM 876.371094 1710279299.0900
MEM 886.250000 1710279299.1917
MEM 876.523438 1710279299.2932
MEM 907.710938 1710279299.3945
MEM 900.515625 1710279299.4961
MEM 907.710938 1710279299.5972
MEM 902.519531 1710279299.6984
MEM 876.355469 1710279299.7999
